created_at,not_reply,reply
2017-10-15 00:00:00+00:00,18077,1814
2017-10-16 00:00:00+00:00,370824,24206
2017-10-17 00:00:00+00:00,291292,15271
2017-10-18 00:00:00+00:00,144075,6928
2017-10-19 00:00:00+00:00,105161,5247
2017-10-20 00:00:00+00:00,66929,3248
2017-10-21 00:00:00+00:00,33291,2083
2017-10-22 00:00:00+00:00,33328,2526
2017-10-23 00:00:00+00:00,25869,2293
2017-10-24 00:00:00+00:00,27666,1850
2017-10-25 00:00:00+00:00,35348,1910
2017-10-26 00:00:00+00:00,31927,1854
2017-10-27 00:00:00+00:00,18413,1580
2017-10-28 00:00:00+00:00,14994,1436
2017-10-29 00:00:00+00:00,19488,1145
2017-10-30 00:00:00+00:00,24470,1538
2017-10-31 00:00:00+00:00,20418,1358
2017-11-01 00:00:00+00:00,17218,1269
2017-11-02 00:00:00+00:00,14960,1273
2017-11-03 00:00:00+00:00,12556,1098
2017-11-04 00:00:00+00:00,10030,903
2017-11-05 00:00:00+00:00,11521,1017
2017-11-06 00:00:00+00:00,10248,850
2017-11-07 00:00:00+00:00,9317,866
2017-11-08 00:00:00+00:00,11461,1173
2017-11-09 00:00:00+00:00,15770,2014
2017-11-10 00:00:00+00:00,24378,3319
2017-11-11 00:00:00+00:00,20785,2376
2017-11-12 00:00:00+00:00,37080,2489
2017-11-13 00:00:00+00:00,34984,2427
2017-11-14 00:00:00+00:00,30547,2101
2017-11-15 00:00:00+00:00,14650,1326
2017-11-16 00:00:00+00:00,34561,2590
2017-11-17 00:00:00+00:00,32295,2672
2017-11-18 00:00:00+00:00,25254,1906
2017-11-19 00:00:00+00:00,17707,1499
2017-11-20 00:00:00+00:00,16875,1696
2017-11-21 00:00:00+00:00,20920,2366
2017-11-22 00:00:00+00:00,36259,2611
2017-11-23 00:00:00+00:00,26360,1583
2017-11-24 00:00:00+00:00,21548,1385
2017-11-25 00:00:00+00:00,32356,2332
2017-11-26 00:00:00+00:00,17464,1712
2017-11-27 00:00:00+00:00,17480,1533
2017-11-28 00:00:00+00:00,18224,1395
2017-11-29 00:00:00+00:00,27530,2118
2017-11-30 00:00:00+00:00,32684,2375
2017-12-01 00:00:00+00:00,25541,1648
2017-12-02 00:00:00+00:00,10694,1168
2017-12-03 00:00:00+00:00,16342,1172
2017-12-04 00:00:00+00:00,20749,2038
2017-12-05 00:00:00+00:00,19598,1752
2017-12-06 00:00:00+00:00,144946,7323
2017-12-07 00:00:00+00:00,125455,7148
2017-12-08 00:00:00+00:00,61198,3756
2017-12-09 00:00:00+00:00,39251,2477
2017-12-10 00:00:00+00:00,25278,1716
2017-12-11 00:00:00+00:00,47717,2862
2017-12-12 00:00:00+00:00,60635,6012
2017-12-13 00:00:00+00:00,44938,3896
2017-12-14 00:00:00+00:00,38365,2703
2017-12-15 00:00:00+00:00,24379,2197
2017-12-16 00:00:00+00:00,30191,2145
2017-12-17 00:00:00+00:00,50366,2271
2017-12-18 00:00:00+00:00,40115,2010
2017-12-19 00:00:00+00:00,36354,2148
2017-12-20 00:00:00+00:00,42926,1862
2017-12-21 00:00:00+00:00,26948,1761
2017-12-22 00:00:00+00:00,27176,1932
2017-12-23 00:00:00+00:00,22319,1446
2017-12-24 00:00:00+00:00,27123,1247
2017-12-25 00:00:00+00:00,23515,728
2017-12-26 00:00:00+00:00,13922,762
2017-12-27 00:00:00+00:00,13716,957
2017-12-28 00:00:00+00:00,14671,1212
2017-12-29 00:00:00+00:00,11899,1156
2017-12-30 00:00:00+00:00,10351,1088
2017-12-31 00:00:00+00:00,11655,1168
2018-01-01 00:00:00+00:00,46866,1437
2018-01-02 00:00:00+00:00,67389,2250
2018-01-03 00:00:00+00:00,42648,1610
2018-01-04 00:00:00+00:00,24860,1450
2018-01-05 00:00:00+00:00,18975,1465
2018-01-06 00:00:00+00:00,16980,1331
2018-01-07 00:00:00+00:00,85940,3407
2018-01-08 00:00:00+00:00,399793,13530
2018-01-09 00:00:00+00:00,191026,7172
2018-01-10 00:00:00+00:00,107891,3837
2018-01-11 00:00:00+00:00,66875,4033
2018-01-12 00:00:00+00:00,38480,3372
2018-01-13 00:00:00+00:00,46503,3170
2018-01-14 00:00:00+00:00,52511,3881
2018-01-15 00:00:00+00:00,41083,3858
2018-01-16 00:00:00+00:00,55596,4268
2018-01-17 00:00:00+00:00,39434,3842
2018-01-18 00:00:00+00:00,39376,3553
2018-01-19 00:00:00+00:00,34576,3309
2018-01-20 00:00:00+00:00,52015,3776
2018-01-21 00:00:00+00:00,76779,3561
2018-01-22 00:00:00+00:00,42190,2789
2018-01-23 00:00:00+00:00,41842,2968
2018-01-24 00:00:00+00:00,42239,3177
2018-01-25 00:00:00+00:00,46071,3359
2018-01-26 00:00:00+00:00,35965,3022
2018-01-27 00:00:00+00:00,38187,2844
2018-01-28 00:00:00+00:00,40422,2724
2018-01-29 00:00:00+00:00,106150,5760
2018-01-30 00:00:00+00:00,48832,3304
2018-01-31 00:00:00+00:00,53058,4111
2018-02-01 00:00:00+00:00,30731,3074
2018-02-02 00:00:00+00:00,27083,2711
2018-02-03 00:00:00+00:00,22666,2113
2018-02-04 00:00:00+00:00,21215,1858
2018-02-05 00:00:00+00:00,22884,1823
2018-02-06 00:00:00+00:00,28759,1926
2018-02-07 00:00:00+00:00,37516,2159
2018-02-08 00:00:00+00:00,27024,2748
2018-02-09 00:00:00+00:00,36673,3213
2018-02-10 00:00:00+00:00,35611,3606
2018-02-11 00:00:00+00:00,39615,3133
2018-02-12 00:00:00+00:00,45911,2773
2018-02-13 00:00:00+00:00,31569,2882
2018-02-14 00:00:00+00:00,27879,2918
2018-02-15 00:00:00+00:00,23901,2084
2018-02-16 00:00:00+00:00,20819,2016
2018-02-17 00:00:00+00:00,27626,1598
2018-02-18 00:00:00+00:00,24261,2010
2018-02-19 00:00:00+00:00,26759,2244
2018-02-20 00:00:00+00:00,23957,2533
2018-02-21 00:00:00+00:00,29399,2373
2018-02-22 00:00:00+00:00,26365,2076
2018-02-23 00:00:00+00:00,22592,1809
2018-02-24 00:00:00+00:00,23441,1675
2018-02-25 00:00:00+00:00,23372,1600
2018-02-26 00:00:00+00:00,40221,2324
2018-02-27 00:00:00+00:00,28008,1973
2018-02-28 00:00:00+00:00,31565,1858
2018-03-01 00:00:00+00:00,14407,981
2018-03-02 00:00:00+00:00,29098,1766
2018-03-03 00:00:00+00:00,22227,1546
2018-03-04 00:00:00+00:00,28983,2576
2018-03-05 00:00:00+00:00,84239,5017
2018-03-06 00:00:00+00:00,30513,2680
2018-03-07 00:00:00+00:00,29317,2110
2018-03-08 00:00:00+00:00,74449,2795
2018-03-09 00:00:00+00:00,178052,2086
2018-03-10 00:00:00+00:00,95531,1431
2018-03-11 00:00:00+00:00,50549,1124
2018-03-12 00:00:00+00:00,30146,1409
2018-03-13 00:00:00+00:00,25213,1692
2018-03-14 00:00:00+00:00,27452,1613
2018-03-15 00:00:00+00:00,22098,1695
2018-03-16 00:00:00+00:00,23473,1761
2018-03-17 00:00:00+00:00,21242,1553
2018-03-18 00:00:00+00:00,18070,1241
2018-03-19 00:00:00+00:00,20910,1271
2018-03-20 00:00:00+00:00,19662,1529
2018-03-21 00:00:00+00:00,16313,1438
2018-03-22 00:00:00+00:00,16346,1372
2018-03-23 00:00:00+00:00,18002,1346
2018-03-24 00:00:00+00:00,5068,338
2018-03-25 00:00:00+00:00,13048,1275
2018-03-26 00:00:00+00:00,15981,1584
2018-03-28 00:00:00+00:00,20145,1510
2018-03-29 00:00:00+00:00,15091,1091
2018-03-30 00:00:00+00:00,13113,1059
2018-03-31 00:00:00+00:00,15229,980
2018-04-01 00:00:00+00:00,16756,755
2018-04-02 00:00:00+00:00,16749,833
2018-04-03 00:00:00+00:00,17272,1084
2018-04-04 00:00:00+00:00,19832,986
2018-04-05 00:00:00+00:00,12286,927
2018-04-06 00:00:00+00:00,19367,1210
2018-04-07 00:00:00+00:00,89745,4101
2018-04-08 00:00:00+00:00,60981,3326
2018-04-09 00:00:00+00:00,31853,2071
2018-04-10 00:00:00+00:00,22350,1422
2018-04-11 00:00:00+00:00,27503,1403
2018-04-12 00:00:00+00:00,16326,1220
2018-04-13 00:00:00+00:00,22229,1227
2018-04-14 00:00:00+00:00,13877,940
2018-04-15 00:00:00+00:00,14722,936
2018-04-16 00:00:00+00:00,22844,1158
2018-04-17 00:00:00+00:00,21784,1198
2018-04-18 00:00:00+00:00,24779,1247
2018-04-19 00:00:00+00:00,37816,1754
2018-04-20 00:00:00+00:00,39932,2086
2018-04-21 00:00:00+00:00,33358,1702
2018-04-22 00:00:00+00:00,23319,1324
2018-04-23 00:00:00+00:00,22249,1261
2018-04-24 00:00:00+00:00,25518,1328
2018-04-25 00:00:00+00:00,25925,1417
2018-04-26 00:00:00+00:00,61568,3009
2018-04-27 00:00:00+00:00,34091,2264
2018-04-28 00:00:00+00:00,25306,1742
2018-04-29 00:00:00+00:00,18947,1922
2018-04-30 00:00:00+00:00,49361,2256
2018-05-01 00:00:00+00:00,38842,1968
2018-05-02 00:00:00+00:00,20810,1446
2018-05-03 00:00:00+00:00,20628,1653
2018-05-04 00:00:00+00:00,17517,1532
2018-05-05 00:00:00+00:00,12712,1127
2018-05-06 00:00:00+00:00,12757,1017
2018-05-07 00:00:00+00:00,14812,1125
2018-05-08 00:00:00+00:00,35090,3325
2018-05-09 00:00:00+00:00,27650,1982
2018-05-10 00:00:00+00:00,22732,1919
2018-05-11 00:00:00+00:00,16583,1459
2018-05-12 00:00:00+00:00,12584,1273
2018-05-13 00:00:00+00:00,13361,1113
2018-05-14 00:00:00+00:00,11543,1020
2018-05-15 00:00:00+00:00,10660,1088
2018-05-16 00:00:00+00:00,10146,1168
2018-05-17 00:00:00+00:00,12481,1151
2018-05-18 00:00:00+00:00,19221,1081
2018-05-19 00:00:00+00:00,14223,850
2018-05-20 00:00:00+00:00,13878,786
2018-05-21 00:00:00+00:00,17390,1134
2018-05-22 00:00:00+00:00,14525,1094
2018-05-23 00:00:00+00:00,14073,1242
2018-05-24 00:00:00+00:00,20887,2068
2018-05-25 00:00:00+00:00,34666,2467
2018-05-26 00:00:00+00:00,16904,1401
2018-05-27 00:00:00+00:00,11406,1113
2018-05-28 00:00:00+00:00,12002,1049
2018-05-29 00:00:00+00:00,14471,1306
2018-05-30 00:00:00+00:00,21654,1863
2018-05-31 00:00:00+00:00,22961,1811
2018-06-01 00:00:00+00:00,16123,1491
2018-06-02 00:00:00+00:00,9670,953
2018-06-03 00:00:00+00:00,7596,849
2018-06-04 00:00:00+00:00,26947,2771
2018-06-05 00:00:00+00:00,32960,2114
2018-06-06 00:00:00+00:00,27418,2003
2018-06-07 00:00:00+00:00,16899,1758
2018-06-08 00:00:00+00:00,17469,1616
2018-06-09 00:00:00+00:00,14182,1165
2018-06-10 00:00:00+00:00,10009,1091
2018-06-11 00:00:00+00:00,13439,1533
2018-06-12 00:00:00+00:00,20500,1725
2018-06-13 00:00:00+00:00,14836,1379
2018-06-14 00:00:00+00:00,13530,1378
2018-06-15 00:00:00+00:00,27183,1859
2018-06-16 00:00:00+00:00,17433,1272
2018-06-17 00:00:00+00:00,11268,1107
2018-06-18 00:00:00+00:00,8252,1126
2018-06-19 00:00:00+00:00,8208,1098
2018-06-20 00:00:00+00:00,8711,1319
2018-06-21 00:00:00+00:00,9343,1275
2018-06-22 00:00:00+00:00,9866,1141
2018-06-23 00:00:00+00:00,9101,1005
2018-06-24 00:00:00+00:00,7366,896
2018-06-25 00:00:00+00:00,11791,878
2018-06-26 00:00:00+00:00,24096,1048
2018-06-27 00:00:00+00:00,15631,1255
2018-06-28 00:00:00+00:00,15783,1205
2018-06-29 00:00:00+00:00,17067,1135
2018-06-30 00:00:00+00:00,14294,1012
2018-07-01 00:00:00+00:00,35062,1958
2018-07-02 00:00:00+00:00,8473,794
2018-07-03 00:00:00+00:00,36576,2730
2018-07-04 00:00:00+00:00,11039,1028
2018-07-06 00:00:00+00:00,76302,4509
2018-07-07 00:00:00+00:00,39498,2135
2018-07-08 00:00:00+00:00,16493,1408
2018-07-09 00:00:00+00:00,18101,1441
2018-07-10 00:00:00+00:00,31730,2504
2018-07-11 00:00:00+00:00,22236,2214
2018-07-12 00:00:00+00:00,36728,3650
2018-07-13 00:00:00+00:00,16713,1506
2018-07-14 00:00:00+00:00,13909,1122
2018-07-15 00:00:00+00:00,17362,2172
2018-07-16 00:00:00+00:00,14872,1684
2018-07-17 00:00:00+00:00,16076,1772
2018-07-18 00:00:00+00:00,17908,1934
2018-07-19 00:00:00+00:00,9678,983
2018-07-20 00:00:00+00:00,18946,2442
2018-07-21 00:00:00+00:00,6660,984
2018-07-22 00:00:00+00:00,5617,802
2018-07-23 00:00:00+00:00,12477,997
2018-07-24 00:00:00+00:00,21922,2024
2018-07-25 00:00:00+00:00,9171,941
2018-07-27 00:00:00+00:00,26300,2178
2018-07-28 00:00:00+00:00,13183,1150
2018-07-29 00:00:00+00:00,9474,876
2018-07-30 00:00:00+00:00,14992,1072
2018-07-31 00:00:00+00:00,28240,2586
2018-08-01 00:00:00+00:00,12414,1311
2018-08-02 00:00:00+00:00,18860,1340
2018-08-03 00:00:00+00:00,13190,1114
2018-08-04 00:00:00+00:00,8182,751
2018-08-05 00:00:00+00:00,7911,820
2018-08-06 00:00:00+00:00,8771,913
2018-08-07 00:00:00+00:00,8103,899
2018-08-08 00:00:00+00:00,7689,880
2018-08-09 00:00:00+00:00,12129,1105
2018-08-10 00:00:00+00:00,11914,1094
2018-08-11 00:00:00+00:00,5809,754
2018-08-12 00:00:00+00:00,7533,924
2018-08-13 00:00:00+00:00,8872,982
2018-08-14 00:00:00+00:00,12604,1009
2018-08-15 00:00:00+00:00,15988,1302
2018-08-16 00:00:00+00:00,11892,935
2018-08-17 00:00:00+00:00,12572,944
2018-08-18 00:00:00+00:00,18205,957
2018-08-19 00:00:00+00:00,9206,777
2018-08-20 00:00:00+00:00,60822,3491
2018-08-21 00:00:00+00:00,35752,2303
2018-08-22 00:00:00+00:00,18595,1655
2018-08-23 00:00:00+00:00,15821,1607
2018-08-24 00:00:00+00:00,16927,1199
2018-08-25 00:00:00+00:00,13215,859
2018-08-26 00:00:00+00:00,8082,752
2018-08-27 00:00:00+00:00,7579,730
2018-08-28 00:00:00+00:00,18571,4313
2018-08-29 00:00:00+00:00,14823,1264
2018-08-30 00:00:00+00:00,11503,1280
2018-08-31 00:00:00+00:00,9662,1091
2018-09-01 00:00:00+00:00,8780,15945
2018-09-02 00:00:00+00:00,8031,1059
2018-09-03 00:00:00+00:00,8843,946
2018-09-04 00:00:00+00:00,9154,1153
2018-09-05 00:00:00+00:00,8791,1015
2018-09-06 00:00:00+00:00,8697,988
2018-09-07 00:00:00+00:00,11352,920
2018-09-08 00:00:00+00:00,15686,975
2018-09-09 00:00:00+00:00,42961,1342
2018-09-10 00:00:00+00:00,30360,1489
2018-09-11 00:00:00+00:00,21510,1127
2018-09-12 00:00:00+00:00,19359,1242
2018-09-13 00:00:00+00:00,20943,1634
2018-09-14 00:00:00+00:00,17805,2008
2018-09-15 00:00:00+00:00,14691,1429
2018-09-16 00:00:00+00:00,39951,3884
2018-09-17 00:00:00+00:00,96279,9606
2018-09-18 00:00:00+00:00,38795,3822
2018-09-19 00:00:00+00:00,87617,8118
2018-09-20 00:00:00+00:00,85665,8128
2018-09-21 00:00:00+00:00,228507,15070
2018-09-22 00:00:00+00:00,113156,5980
2018-09-23 00:00:00+00:00,156249,8994
2018-09-24 00:00:00+00:00,264498,15004
2018-09-25 00:00:00+00:00,107233,7870
2018-09-26 00:00:00+00:00,136855,13299
2018-09-27 00:00:00+00:00,244770,21202
2018-09-28 00:00:00+00:00,173252,17691
2018-09-29 00:00:00+00:00,113203,8916
