created_at,not_sensitive,possibly_sensitive,unknown
2017-10-15 00:00:00+00:00,4165.0,42.0,15684.0
2017-10-16 00:00:00+00:00,81240.0,940.0,312850.0
2017-10-17 00:00:00+00:00,79006.0,858.0,226699.0
2017-10-18 00:00:00+00:00,61997.0,815.0,88191.0
2017-10-19 00:00:00+00:00,46246.0,560.0,63602.0
2017-10-20 00:00:00+00:00,29074.0,405.0,40698.0
2017-10-21 00:00:00+00:00,18143.0,256.0,16975.0
2017-10-22 00:00:00+00:00,16742.0,240.0,18872.0
2017-10-23 00:00:00+00:00,14959.0,205.0,12998.0
2017-10-24 00:00:00+00:00,16041.0,196.0,13279.0
2017-10-25 00:00:00+00:00,18187.0,190.0,18881.0
2017-10-26 00:00:00+00:00,14649.0,174.0,18958.0
2017-10-27 00:00:00+00:00,10366.0,123.0,9504.0
2017-10-28 00:00:00+00:00,8552.0,100.0,7778.0
2017-10-29 00:00:00+00:00,11558.0,170.0,8905.0
2017-10-30 00:00:00+00:00,15223.0,238.0,10547.0
2017-10-31 00:00:00+00:00,11724.0,164.0,9888.0
2017-11-01 00:00:00+00:00,8957.0,116.0,9414.0
2017-11-02 00:00:00+00:00,8675.0,120.0,7438.0
2017-11-03 00:00:00+00:00,7633.0,110.0,5911.0
2017-11-04 00:00:00+00:00,5739.0,92.0,5102.0
2017-11-05 00:00:00+00:00,6496.0,108.0,5934.0
2017-11-06 00:00:00+00:00,5850.0,72.0,5176.0
2017-11-07 00:00:00+00:00,5391.0,115.0,4677.0
2017-11-08 00:00:00+00:00,6257.0,138.0,6239.0
2017-11-09 00:00:00+00:00,7976.0,127.0,9681.0
2017-11-10 00:00:00+00:00,10834.0,162.0,16701.0
2017-11-11 00:00:00+00:00,8790.0,143.0,14228.0
2017-11-12 00:00:00+00:00,13693.0,192.0,25684.0
2017-11-13 00:00:00+00:00,17535.0,281.0,19595.0
2017-11-14 00:00:00+00:00,17290.0,210.0,15148.0
2017-11-15 00:00:00+00:00,7616.0,89.0,8271.0
2017-11-16 00:00:00+00:00,23182.0,357.0,13612.0
2017-11-17 00:00:00+00:00,16141.0,223.0,18603.0
