created_at,ar,art,ca,da,de,en,es,et,fa,fi,fr,hi,in,it,ja,ko,nl,no,pl,pt,qht,qme,sv,ta,th,tl,tr,und,ur,zxx
2017-10-15 00:00:00+00:00,9.0,,,,2.0,13512.0,40.0,4.0,2.0,,37.0,,5.0,5.0,24.0,1.0,6.0,,2.0,106.0,3685.0,2182.0,1.0,,,1.0,1.0,250.0,,5.0
2017-10-16 00:00:00+00:00,436.0,,134.0,65.0,1314.0,305561.0,3428.0,34.0,317.0,603.0,3403.0,1393.0,471.0,291.0,245.0,30.0,1206.0,23.0,64.0,322.0,42536.0,26465.0,1192.0,7.0,225.0,65.0,79.0,4343.0,28.0,141.0
2017-10-17 00:00:00+00:00,797.0,,200.0,97.0,2258.0,222629.0,11643.0,29.0,300.0,879.0,5022.0,797.0,268.0,878.0,790.0,354.0,2056.0,117.0,236.0,612.0,27193.0,18453.0,6356.0,22.0,96.0,62.0,82.0,2998.0,153.0,104.0
2017-10-18 00:00:00+00:00,511.0,,203.0,204.0,2324.0,94798.0,7658.0,23.0,114.0,599.0,3378.0,915.0,150.0,1376.0,715.0,197.0,2493.0,71.0,191.0,372.0,6633.0,19643.0,5357.0,2.0,29.0,80.0,58.0,1695.0,224.0,102.0
2017-10-19 00:00:00+00:00,491.0,,296.0,270.0,2087.0,74353.0,3379.0,22.0,89.0,300.0,2023.0,552.0,116.0,588.0,1225.0,182.0,1886.0,77.0,167.0,553.0,3472.0,12427.0,3183.0,1.0,346.0,83.0,91.0,1393.0,74.0,64.0
2017-10-20 00:00:00+00:00,211.0,,98.0,231.0,1317.0,48880.0,1682.0,12.0,36.0,361.0,2003.0,155.0,52.0,264.0,1328.0,73.0,2558.0,50.0,50.0,185.0,1596.0,4746.0,2181.0,8.0,281.0,165.0,88.0,959.0,17.0,34.0
2017-10-21 00:00:00+00:00,69.0,,50.0,123.0,605.0,23952.0,738.0,8.0,22.0,140.0,1303.0,99.0,27.0,130.0,660.0,19.0,1486.0,117.0,41.0,181.0,596.0,1892.0,2371.0,15.0,57.0,16.0,21.0,358.0,15.0,17.0
2017-10-22 00:00:00+00:00,33.0,,226.0,89.0,919.0,23648.0,703.0,11.0,22.0,178.0,1089.0,100.0,18.0,108.0,325.0,27.0,754.0,190.0,66.0,54.0,490.0,1607.0,4521.0,,45.0,9.0,17.0,378.0,4.0,12.0
2017-10-23 00:00:00+00:00,38.0,,156.0,75.0,860.0,18231.0,673.0,5.0,20.0,87.0,1104.0,86.0,15.0,130.0,165.0,54.0,1371.0,163.0,66.0,44.0,286.0,1258.0,2665.0,16.0,6.0,7.0,22.0,309.0,4.0,15.0
2017-10-24 00:00:00+00:00,18.0,,202.0,50.0,722.0,19269.0,796.0,14.0,9.0,68.0,993.0,33.0,37.0,102.0,513.0,52.0,1737.0,114.0,66.0,1146.0,258.0,1182.0,1410.0,,3.0,14.0,48.0,409.0,4.0,38.0
2017-10-25 00:00:00+00:00,23.0,,4865.0,55.0,1028.0,18473.0,5260.0,19.0,28.0,118.0,1454.0,67.0,26.0,166.0,809.0,17.0,1302.0,43.0,47.0,161.0,250.0,971.0,1391.0,1.0,3.0,41.0,18.0,345.0,1.0,32.0
